Country,Year,Gross demand,Gross production,Final consumption
Chile,2015,72055.0,75414.0,67007.0
Chile,2014,69452.0,70753.0,67148.0
Chile,2013,69744.0,73065.0,65201.0
Chile,2012,65840.0,69751.0,62245.0
Chile,2011,63921.0,65713.0,57932.0
Chile,2010,59292.0,60434.0,54738.0
Chile,2009,60077.0,60722.0,54034.0
Chile,2008,59235.0,59704.0,53508.0
Chile,2007,58567.0,58509.0,53032.0
Chile,2006,56276.0,55320.0,50807.0
Chile,2005,53447.0,52484.0,48315.0
Chile,2004,51580.0,51208.0,47056.0
Chile,2003,47728.0,46829.0,44466.0
Chile,2002,44058.0,43671.0,40948.0
Chile,2001,43065.0,42531.0,39524.0
Chile,2000,40064.0,40078.0,36752.0
Chile,1999,37280.0,38390.0,34762.0
Chile,1998,34157.0,35509.0,30954.0
Chile,1997,32351.0,33297.0,29347.0
Chile,1996,29873.0,30733.0,26946.0
Chile,1995,27408.0,28027.0,24192.0
Chile,1994,24728.0,25277.0,21650.0
Chile,1993,23528.0,24003.0,20357.0
Chile,1992,21984.0,22363.0,19314.0
Chile,1991,19498.0,19961.0,16954.0
Chile,1990,17757.0,18372.0,15489.0
China,2021,7897700.0,8534273.0,7253888.0
China,2020,7173418.0,7779060.0,6567566.0
China,2019,6916327.0,7503458.0,6298689.0
China,2018,6597392.0,7166133.0,6000960.0
China,2017,6081767.0,6604475.95,5515706.5
China,2016,5628989.0,6133158.01,5092460.9
China,2015,5357455.4,5814573.05,4831404.8
China,2014,5344370.0,5794278.0,4811377.1
China,2013,5016127.0,5431637.4,4484104.5
China,2012,4609729.0,4987553.0,4121625.8
China,2011,4319132.0,4713019.0,3859810.89
China,2010,3881719.0,4207160.4,3449919.899
China,2009,3421094.0,3741550.0,3038240.5
China,2008,3187380.0,3408753.3,2829923.0
China,2007,3017115.0,3281552.9,2674339.0
China,2006,2628186.0,2865726.0,2323913.0
China,2005,2294896.0,2500259.9,2002085.0
China,2004,2000014.0,2203310.2,1718045.0
China,2003,1729740.0,1910575.3,1759113.0
China,2002,1496004.0,1653999.8,1202274.0
China,2001,1359915.0,1471657.0,1250774.0
China,2000,1253597.0,1355600.0,1155530.0
China,1999,1129255.0,1239300.0,962992.0
China,1998,1065243.0,1166200.0,910433.0
China,1997,1031174.0,1134471.0,863292.0
China,1996,994266.0,1081310.0,834857.0
China,1995,922816.0,1007726.0,775270.0
China,1994,857362.0,928083.0,719198.0
China,1993,778715.0,839453.0,642923.0
China,1992,700060.0,754440.0,680208.0
China,1991,634820.0,677550.0,510669.0
China,1990,584260.0,621200.0,568886.0
"China, Hong Kong SAR",2022,48534.0,36186.0,44861.0
"China, Hong Kong SAR",2021,49626.0,37071.0,45813.0
"China, Hong Kong SAR",2020,47888.0,35189.0,44201.0
"China, Hong Kong SAR",2019,49292.0,36911.0,44919.0
"China, Hong Kong SAR",2018,48608.0,36565.0,44305.0
"China, Hong Kong SAR",2017,48205.0,36970.0,43832.0
"China, Hong Kong SAR",2016,48570.0,38154.0,44028.0
"China, Hong Kong SAR",2015,48479.0,37924.0,43912.0
"China, Hong Kong SAR",2014,48865.0,39803.0,43880.0
"China, Hong Kong SAR",2013,47382.0,39063.0,42556.0
"China, Hong Kong SAR",2012,48070.0,38752.0,43031.0
"China, Hong Kong SAR",2011,46804.0,39026.0,42065.0
"China, Hong Kong SAR",2010,46194.0,38292.0,41863.0
"China, Hong Kong SAR",2009,45960.0,38728.0,41491.0
"China, Hong Kong SAR",2008,45239.0,37990.0,40930.0
